valid, idx, real
1,          12, -14586
1,          13, -14572
1,          14, -14558
1,          15, -14544
1,           0, -14528
1,           1, -14514
1,           2, -14497
1,           3, -14483
1,           4, -14468
1,           5, -14453
1,           6, -14437
1,           7, -14420
1,           8, -14404
1,           9, -14388
1,          10, -14371
1,          11, -14353
1,          12, -14336
1,          13, -14319
1,          14, -14302
1,          15, -14283
1,           0, -14265
1,           1, -14247
1,           2, -14229
1,           3, -14211
1,           4, -14190
1,           5, -14171
1,           6, -14153
1,           7, -14133
1,           8, -14112
1,           9, -14092
1,          10, -14073
1,          11, -14052
1,          12, -14030
1,          13, -14010
1,          14, -13989
1,          15, -13969
1,           0, -13948
1,           1, -13926
1,           2, -13905
1,           3, -13881
1,           4, -13859
1,           5, -13837
1,           6, -13814
1,           7, -13792
1,           8, -13767
1,           9, -13744
1,          10, -13721
1,          11, -13698
1,          12, -13672
1,          13, -13648
1,          14, -13624
1,          15, -13600
1,           0, -13570
1,           1, -13546
1,           2, -13521
1,           3, -13496
1,           4, -13468
1,           5, -13443
1,           6, -13418
1,           7, -13391
1,           8, -13363
1,           9, -13337
1,          10, -13310
1,          11, -13284
1,          12, -13254
1,          13, -13227
1,          14, -13200
1,          15, -13173
1,           0, -13147
1,           1, -13117
1,           2, -13089
1,           3, -13061
1,           4, -13033
1,           5, -13004
1,           6, -12972
1,           7, -12943
1,           8, -12914
1,           9, -12885
1,          10, -12852
1,          11, -12822
1,          12, -12793
1,          13, -12762
1,          14, -12729
1,          15, -12698
1,           0, -12665
1,           1, -12634
1,           2, -12603
1,           3, -12568
1,           4, -12537
1,           5, -12505
1,           6, -12473
1,           7, -12438
1,           8, -12406
1,           9, -12373
1,          10, -12341
1,          11, -12308
1,          12, -12272
1,          13, -12239
1,          14, -12205
1,          15, -12172
1,           0, -12138
1,           1, -12101
1,           2, -12067
1,           3, -12032
1,           4, -11998
1,           5, -11960
1,           6, -11925
1,           7, -11890
1,           8, -11855
1,           9, -11816
1,          10, -11781
1,          11, -11745
1,          12, -11709
1,          13, -11669
1,          14, -11633
1,          15, -11597
1,           0, -11560
1,           1, -11523
1,           2, -11483
1,           3, -11446
1,           4, -11408
1,           5, -11371
1,           6, -11330
1,           7, -11292
1,           8, -11254
1,           9, -11216
1,          10, -11174
1,          11, -11135
1,          12, -11097
1,          13, -11058
1,          14, -11015
1,          15, -10976
1,           0, -10933
1,           1, -10889
1,           2, -10849
1,           3, -10810
1,           4, -10770
1,           5, -10726
1,           6, -10686
1,           7, -10645
1,           8, -10605
1,           9, -10560
1,          10, -10519
1,          11, -10477
1,          12, -10436
1,          13, -10395
1,          14, -10349
1,          15, -10308
1,           0, -10266
1,           1, -10224
1,           2, -10182
1,           3, -10139
1,           4, -10096
1,           5, -10050
1,           6, -10007
1,           7,  -9964
1,           8,  -9921
1,           9,  -9874
1,          10,  -9830
1,          11,  -9787
1,          12,  -9743
1,          13,  -9695
1,          14,  -9651
1,          15,  -9607
1,           0,  -9562
1,           1,  -9514
1,           2,  -9469
1,           3,  -9424
1,           4,  -9380
1,           5,  -9335
1,           6,  -9285
1,           7,  -9240
1,           8,  -9194
1,           9,  -9149
1,          10,  -9099
1,          11,  -9053
1,          12,  -9007
1,          13,  -8961
1,          14,  -8910
1,          15,  -8864
1,           0,  -8822
1,           1,  -8771
1,           2,  -8724
1,           3,  -8677
1,           4,  -8630
1,           5,  -8578
1,           6,  -8531
1,           7,  -8484
1,           8,  -8436
1,           9,  -8389
1,          10,  -8336
1,          11,  -8288
1,          12,  -8240
1,          13,  -8192
1,          14,  -8139
1,          15,  -8091
1,           0,  -8037
1,           1,  -7988
1,           2,  -7940
1,           3,  -7886
1,           4,  -7837
1,           5,  -7788
1,           6,  -7739
1,           7,  -7685
1,           8,  -7635
1,           9,  -7585
1,          10,  -7536
1,          11,  -7481
1,          12,  -7431
1,          13,  -7381
1,          14,  -7331
1,          15,  -7276
1,           0,  -7230
1,           1,  -7175
1,           2,  -7124
1,           3,  -7073
1,           4,  -7023
1,           5,  -6967
1,           6,  -6916
1,           7,  -6865
1,           8,  -6813
1,           9,  -6757
1,          10,  -6706
1,          11,  -6654
1,          12,  -6602
1,          13,  -6546
1,          14,  -6494
1,          15,  -6442
1,           0,  -6385
1,           1,  -6333
1,           2,  -6281
1,           3,  -6228
1,           4,  -6171
1,           5,  -6118
1,           6,  -6065
1,           7,  -6013
1,           8,  -5955
1,           9,  -5902
1,          10,  -5849
1,          11,  -5796
1,          12,  -5738
1,          13,  -5685
1,          14,  -5631
1,          15,  -5578
1,           0,  -5519
1,           1,  -5466
1,           2,  -5412
1,           3,  -5353
1,           4,  -5299
1,           5,  -5245
1,           6,  -5192
1,           7,  -5132
1,           8,  -5078
1,           9,  -5024
1,          10,  -4970
1,          11,  -4915
1,          12,  -4856
1,          13,  -4801
1,          14,  -4747
1,          15,  -4692
1,           0,  -4637
1,           1,  -4582
1,           2,  -4522
1,           3,  -4467
1,           4,  -4412
1,           5,  -4357
1,           6,  -4297
1,           7,  -4242
1,           8,  -4186
1,           9,  -4131
1,          10,  -4070
1,          11,  -4015
1,          12,  -3959
1,          13,  -3904
1,          14,  -3848
1,          15,  -3787
1,           0,  -3731
1,           1,  -3676
1,           2,  -3620
1,           3,  -3564
1,           4,  -3502
1,           5,  -3447
1,           6,  -3391
1,           7,  -3334
1,           8,  -3273
1,           9,  -3217
1,          10,  -3160
1,          11,  -3104
1,          12,  -3042
1,          13,  -2986
1,          14,  -2929
1,          15,  -2873
1,           0,  -2817
1,           1,  -2760
1,           2,  -2698
1,           3,  -2641
1,           4,  -2585
1,           5,  -2528
1,           6,  -2471
1,           7,  -2409
1,           8,  -2352
1,           9,  -2295
1,          10,  -2239
1,          11,  -2176
1,          12,  -2119
1,          13,  -2062
1,          14,  -2005
1,          15,  -1942
1,           0,  -1879
1,           1,  -1822
1,           2,  -1765
1,           3,  -1702
1,           4,  -1645
1,           5,  -1588
1,           6,  -1531
1,           7,  -1468
1,           8,  -1410
1,           9,  -1353
1,          10,  -1296
1,          11,  -1233
1,          12,  -1176
1,          13,  -1118
1,          14,  -1061
1,          15,   -998
1,           0,   -940
1,           1,   -877
1,           2,   -820
1,           3,   -762
1,           4,   -705
1,           5,   -642
1,           6,   -584
1,           7,   -527
1,           8,   -469
1,           9,   -406
1,          10,   -348
1,          11,   -291
1,          12,   -234
1,          13,   -170
1,          14,   -113
1,          15,    -55
1,           0,     -3
1,           1,     54
1,           2,    112
1,           3,    169
1,           4,    233
1,           5,    290
1,           6,    347
1,           7,    405
1,           8,    468
1,           9,    526
1,          10,    583
1,          11,    641
1,          12,    704
1,          13,    761
1,          14,    819
1,          15,    876
1,           0,    945
1,           1,   1002
1,           2,   1060
1,           3,   1123
1,           4,   1181
1,           5,   1238
1,           6,   1295
1,           7,   1358
1,           8,   1415
1,           9,   1473
1,          10,   1530
1,          11,   1587
1,          12,   1650
1,          13,   1707
1,          14,   1764
1,          15,   1821
1,           0,   1884
1,           1,   1941
1,           2,   1998
1,           3,   2055
1,           4,   2118
1,           5,   2175
1,           6,   2232
1,           7,   2288
1,           8,   2345
1,           9,   2408
1,          10,   2465
1,          11,   2521
1,          12,   2578
1,          13,   2640
1,          14,   2697
1,          15,   2753
1,           0,   2816
1,           1,   2872
1,           2,   2928
1,           3,   2985
1,           4,   3047
1,           5,   3103
1,           6,   3159
1,           7,   3216
1,           8,   3278
1,           9,   3333
1,          10,   3390
1,          11,   3446
1,          12,   3507
1,          13,   3563
1,          14,   3619
1,          15,   3675
1,           0,   3730
